Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2018-10-12,177007054.25,10.0003,10.0004,10.0003,-0.0003
2018-10-16,183707534.21,10.098,10.0981,10.098,0.0977
2018-10-17,185442906.6,10.0768,10.0769,10.0768,-0.0212
2018-10-18,184441567.88,9.9764,9.9765,9.9764,-0.1004
2018-10-19,185517432.95,9.9855,9.9856,9.9855,0.0091
2018-10-22,188605455.67,9.9865,9.9866,9.9865,0.001
2018-10-24,188816998.22,9.8433,9.8434,9.8433,-0.1432
2018-10-25,191116315.05,9.836,9.8361,9.836,-0.0073
2018-10-26,195829005.52,9.8037,9.8038,9.8037,-0.0323
2018-10-29,200794800.72,9.8347,9.8348,9.8347,0.031
2018-10-30,202587175.96,9.8623,9.8624,9.8623,0.0276
2018-10-31,207727573.67,10.0462,10.0463,10.0462,0.1839
2018-11-01,211380740.45,10.1748,10.1749,10.1748,0.1286
2018-11-02,210912128.1,10.1243,10.1244,10.1243,-0.0505
2018-11-05,210980085.98,10.085,10.0851,10.085,-0.0393
2018-11-06,213316646.53,10.1768,10.1769,10.1768,0.0918
2018-11-07,218007263.07,10.328,10.3281,10.328,0.1512
2018-11-08,218737190.54,10.3348,10.3349,10.3348,0.0068
2018-11-09,215813709.43,10.1823,10.1824,10.1823,-0.1525
2018-11-13,214865721.5,10.0924,10.0925,10.0924,0.1032
2018-11-14,214126153.33,10.0254,10.0255,10.0254,-0.067
2018-11-15,215871163.78,10.0711,10.0712,10.0711,0.0457
2018-11-16,216440929.94,10.0766,10.0767,10.0766,0.0055
2018-11-19,214966310.76,9.9449,9.945,9.9449,-0.1317
2018-11-20,213317229.12,9.8087,9.8088,9.8087,-0.1362
2018-11-21,216968547.64,9.9192,9.9193,9.9192,0.1105
2018-11-23,216617472.41,9.8516,9.8517,9.8516,0.0278
2018-11-26,220558901.09,9.9672,9.9673,9.9672,0.1156
2018-11-27,222252760.0,10.0027,10.0028,10.0027,0.0355
2018-11-28,223121362.93,10.0026,10.0027,10.0026,-0.0001
2018-11-29,226932040.03,10.1371,10.1372,10.1371,0.1345
2018-11-30,227079623.58,10.1241,10.1242,10.1241,-0.013
2018-12-03,230835992.5,10.2701,10.2702,10.2701,0.146
2018-12-04,229922357.73,10.1786,10.1787,10.1786,-0.0915
2018-12-06,224569833.79,9.8723,9.8724,9.8723,-0.3063
2018-12-07,226326312.04,9.8477,9.8478,9.8477,-0.0246
2018-12-11,229466800.83,9.9088,9.9089,9.9088,0.0611
2018-12-12,234848911.29,10.023,10.0231,10.023,0.1142
2018-12-13,233706060.3,9.9245,9.9246,9.9245,-0.0985
2018-12-14,232675015.19,9.788,9.7881,9.788,-0.1365
2018-12-17,235336531.71,9.7493,9.7494,9.7493,-0.0387
2018-12-18,236237640.08,9.6517,9.6518,9.6517,-0.0976
2018-12-19,242534797.06,9.6816,9.6817,9.6816,0.0299
2018-12-20,236348227.07,9.3363,9.3364,9.3363,-0.3453
