Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2022-05-03,50444545.86,9.9986,9.9987,9.9986,-0.0013
2022-05-05,50909230.44,9.998,9.9981,9.998,-0.0006
2022-05-06,50882011.57,9.9821,9.9822,9.9821,-0.0159
2022-05-09,50880112.63,9.8822,9.8823,9.8822,-0.0999
2022-05-10,50624129.59,9.8585,9.8586,9.8585,-0.0237
2022-05-11,51190163.53,9.9196,9.9197,9.9196,0.0611
2022-05-12,50583398.46,9.7637,9.7638,9.7637,-0.1559
2022-05-13,52448684.05,10.086,10.0861,10.086,0.3223
2022-05-17,53059581.34,10.1247,10.1248,10.1247,0.0387
2022-05-18,52417516.42,9.9734,9.9735,9.9734,-0.1513
2022-05-19,52692312.52,10.0076,10.0077,10.0076,0.0342
2022-05-20,52011653.28,9.8562,9.8563,9.8562,-0.1514
2022-05-23,53139155.6,10.0027,10.0028,10.0027,0.1465
2022-05-24,52098113.11,9.7913,9.7914,9.7913,-0.2114
2022-05-25,52707440.21,9.8745,9.8746,9.8745,0.0832
2022-05-26,54197469.9,10.1209,10.121,10.1209,0.2464
2022-05-27,55299576.08,10.3175,10.3176,10.3175,0.1966
2022-05-31,55693674.15,10.3726,10.3727,10.3726,-0.058
2022-06-01,55427012.63,10.2899,10.29,10.2899,-0.0827
2022-06-02,56240071.84,10.46,10.4601,10.46,0.1701
2022-06-06,56459946.89,10.4871,10.4872,10.4871,0.0271
2022-06-07,56331165.56,10.4512,10.4513,10.4512,-0.0359
2022-06-08,57188460.45,10.563,10.5631,10.563,0.1118
2022-06-09,56154705.12,10.3914,10.3915,10.3914,-0.1716
2022-06-10,53975982.04,9.9532,9.9533,9.9532,-0.4382
2022-06-13,51851284.67,9.5339,9.534,9.5339,-0.4193
2022-06-14,52027572.14,9.5278,9.5279,9.5278,-0.0061
2022-06-15,53218593.07,9.6391,9.6392,9.6391,0.1113
2022-06-16,52122998.7,9.3855,9.3856,9.3855,-0.2536
2022-06-17,52758445.28,9.4425,9.4426,9.4425,0.057
2022-06-21,54642550.48,9.6653,9.6654,9.6653,0.1228
2022-06-22,54825051.49,9.6463,9.6464,9.6463,-0.019
2022-06-23,54994217.02,9.6673,9.6674,9.6673,0.021
2022-06-24,57053304.98,9.9938,9.9939,9.9938,0.3265
2022-06-27,57464020.96,10.0413,10.0414,10.0413,0.0475
2022-06-28,56877067.86,9.8698,9.8699,9.8698,-0.1715
2022-06-29,56294656.58,9.744,9.7441,9.744,-0.1258
2022-06-30,55852819.0,9.6411,9.6412,9.6411,-0.1029
