Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2024-04-17,78371128.62,9.9463,9.9464,9.9463,-0.011
2024-04-18,79634182.76,10.0048,10.0049,10.0048,0.0585
2024-04-19,80091808.51,10.0017,10.0018,10.0017,-0.0031
2024-04-22,80452799.09,9.9873,9.9874,9.9873,-0.0144
2024-04-23,80905222.62,10.0092,10.0093,10.0092,0.0219
2024-04-24,80530977.26,9.9573,9.9574,9.9573,-0.0519
2024-04-25,80307322.94,9.9418,9.9419,9.9418,-0.0155
2024-04-26,80368682.59,9.9273,9.9274,9.9273,-0.0145
2024-04-29,80660079.61,9.9417,9.9418,9.9417,0.0144
2024-04-30,81011046.8,9.9127,9.9128,9.9127,-0.029
2024-05-02,81224748.15,9.9402,9.9403,9.9402,0.0275
2024-05-03,81633965.12,9.9568,9.9569,9.9568,0.0166
2024-05-07,81887996.76,9.9638,9.9639,9.9638,0.007
2024-05-08,81358237.71,9.9089,9.909,9.9089,-0.0549
2024-05-09,81533825.46,9.8899,9.89,9.8899,-0.019
2024-05-10,81705082.67,9.9115,9.9116,9.9115,0.0216
2024-05-13,81814373.2,9.9007,9.9008,9.9007,-0.0108
2024-05-14,82068208.56,9.9011,9.9012,9.9011,0.0004
2024-05-15,82508100.23,9.9161,9.9162,9.9161,0.015
2024-05-16,82799174.06,9.9503,9.9504,9.9503,0.0342
2024-05-17,83291536.81,9.9729,9.973,9.9729,0.0226
2024-05-20,83216853.53,9.9452,9.9453,9.9452,-0.0277
2024-05-21,82778292.38,9.8995,9.8996,9.8995,-0.0457
2024-05-23,82939964.77,9.9171,9.9172,9.9171,0.0176
2024-05-24,83114209.33,9.9168,9.9169,9.9168,-0.0003
2024-05-27,83589648.75,9.9356,9.9357,9.9356,0.0188
2024-05-28,83680318.24,9.9272,9.9273,9.9272,-0.0084
2024-05-29,83693840.7,9.9193,9.9194,9.9193,-0.0079
2024-05-30,84003491.98,9.9282,9.9283,9.9282,0.0089
2024-05-31,84115421.96,9.9372,9.9373,9.9372,0.009
2024-06-04,84301505.6,9.9477,9.9478,9.9477,0.0105
2024-06-05,84602665.27,9.9437,9.9438,9.9437,-0.004
2024-06-06,84577803.88,9.9576,9.9577,9.9576,0.0139
2024-06-07,84893255.14,9.9578,9.9579,9.9578,0.0002
2024-06-10,84729657.26,9.9437,9.9438,9.9437,-0.0141
2024-06-11,85204116.97,9.9523,9.9524,9.9523,0.0086
2024-06-12,85361621.73,9.9636,9.9637,9.9636,0.0113
2024-06-13,85560681.88,9.9802,9.9803,9.9802,0.0166
2024-06-14,86027283.19,9.985,9.9851,9.985,0.0048
2024-06-17,86207412.36,9.9907,9.9908,9.9907,0.0057
2024-06-18,86397602.87,9.9868,9.9869,9.9868,-0.0039
2024-06-19,86804081.78,10.0103,10.0104,10.0103,0.0235
2024-06-20,87079365.97,10.0189,10.019,10.0189,0.0086
2024-06-21,87565741.73,10.0658,10.0659,10.0658,0.0469
2024-06-24,87934474.57,10.0834,10.0835,10.0834,0.0176
2024-06-25,87860633.32,10.0705,10.0706,10.0705,-0.0129
2024-06-26,88463747.55,10.0533,10.0534,10.0533,-0.0172
2024-06-27,88659771.83,10.0407,10.0408,10.0407,-0.0126
2024-06-28,89711206.74,10.076,10.0761,10.076,0.0353
2024-07-01,90374313.09,10.0774,10.0775,10.0774,0.0014
2024-07-02,90786311.87,10.0564,10.0565,10.0564,-0.021
2024-07-03,91200888.68,10.0483,10.0484,10.0483,-0.0081
2024-07-04,91843965.34,10.0616,10.0617,10.0616,0.0133
2024-07-05,92618792.98,10.079,10.0791,10.079,0.0174
2024-07-08,93054839.2,10.106,10.1061,10.106,0.027
2024-07-09,93363383.22,10.1233,10.1234,10.1233,0.0173
2024-07-10,93669019.91,10.128,10.1281,10.128,0.0047
2024-07-11,94240218.86,10.1463,10.1464,10.1463,0.0183
2024-07-12,94494630.32,10.1417,10.1418,10.1417,-0.0046
2024-07-15,94476280.61,10.1138,10.1139,10.1138,-0.0279
2024-07-16,95763987.03,10.1516,10.1517,10.1516,0.0378
2024-07-17,95758085.19,10.1212,10.1213,10.1212,-0.0304
2024-07-18,96328822.09,10.1236,10.1237,10.1236,0.0024
2024-07-19,96828571.6,10.12,10.1201,10.12,-0.0036
2024-07-23,97046858.95,10.1138,10.1139,10.1138,-0.0062
2024-07-24,97320056.04,10.1138,10.1139,10.1138,0.0
2024-07-25,98206257.41,10.1403,10.1404,10.1403,0.0265
2024-07-26,98841176.98,10.1492,10.1493,10.1492,0.0089
2024-07-30,99348841.16,10.1684,10.1685,10.1684,0.0192
2024-07-31,100608423.4,10.1858,10.1859,10.1858,0.0174
2024-08-01,103475992.72,10.1969,10.197,10.1969,0.0111
2024-08-02,106460327.71,10.2156,10.2157,10.2156,0.0187
2024-08-05,110307492.51,10.2442,10.2443,10.2442,0.0286
2024-08-06,114289775.16,10.1867,10.1868,10.1867,-0.0575
2024-08-07,116637450.73,10.161,10.1611,10.161,-0.0257
2024-08-08,119089397.58,10.1894,10.1895,10.1894,0.0284
2024-08-09,122332592.72,10.188,10.1881,10.188,-0.0014
2024-08-13,126698411.35,10.2103,10.2104,10.2103,0.0223
2024-08-14,131977392.34,10.2478,10.2479,10.2478,0.0375
2024-08-15,135402669.18,10.248,10.2481,10.248,0.0002
2024-08-16,140034313.02,10.2832,10.2833,10.2832,0.0352
2024-08-19,144807309.63,10.2928,10.2929,10.2928,0.0096
2024-08-20,152145729.48,10.256,10.2561,10.256,-0.0368
2024-08-21,158861910.02,10.2526,10.2527,10.2526,-0.0034
2024-08-22,164593979.93,10.251,10.2511,10.251,-0.0016
2024-08-23,169671216.09,10.2412,10.2413,10.2412,-0.0098
2024-08-26,176959756.09,10.2598,10.2599,10.2598,0.0186
2024-08-27,183250793.8,10.2582,10.2583,10.2582,-0.0016
2024-08-28,190848462.54,10.2479,10.248,10.2479,-0.0103
2024-08-29,201973750.03,10.2556,10.2557,10.2556,0.0077
2024-08-30,211105967.44,10.2402,10.2403,10.2402,-0.0154
2024-09-02,222608234.48,10.2339,10.234,10.2339,-0.0063
2024-09-03,229962033.54,10.2386,10.2387,10.2386,0.0047
2024-09-04,237344157.52,10.2523,10.2524,10.2523,0.0137
2024-09-05,245458112.6,10.2498,10.2499,10.2498,-0.0025
2024-09-06,255860291.85,10.2632,10.2633,10.2632,0.0134
2024-09-09,269955754.7,10.2497,10.2498,10.2497,-0.0135
2024-09-10,278520905.73,10.2423,10.2424,10.2423,-0.0074
2024-09-11,288338260.9,10.2515,10.2516,10.2515,0.0092
2024-09-12,294453544.59,10.2456,10.2457,10.2456,-0.0059
2024-09-13,301194404.78,10.255,10.2551,10.255,0.0094
2024-09-16,309548896.46,10.2634,10.2635,10.2634,0.0084
2024-09-17,318555884.39,10.2895,10.2896,10.2895,0.0261
2024-09-18,325223420.65,10.2707,10.2708,10.2707,-0.0188
2024-09-19,332596066.37,10.2811,10.2812,10.2811,0.0104
2024-09-20,340776903.14,10.3106,10.3107,10.3106,0.0295
2024-09-23,352462239.38,10.288,10.2881,10.288,-0.0226
2024-09-24,361885379.0,10.2986,10.2987,10.2986,0.0106
2024-09-25,371482498.16,10.3139,10.314,10.3139,0.0153
2024-09-26,378273508.97,10.3133,10.3134,10.3133,-0.0006
2024-09-27,388084878.6,10.299,10.2991,10.299,-0.0143
2024-09-30,399077338.98,10.3053,10.3054,10.3053,0.0063
2024-10-01,411199557.51,10.2904,10.2905,10.2904,-0.0149
2024-10-02,419372476.44,10.2897,10.2898,10.2897,-0.0007
2024-10-03,426463524.04,10.2762,10.2763,10.2762,-0.0135
2024-10-04,432333997.78,10.2706,10.2707,10.2706,-0.0056
2024-10-07,441635229.65,10.233,10.2331,10.233,-0.0376
2024-10-08,450886626.17,10.2469,10.247,10.2469,0.0139
2024-10-09,458113009.3,10.2634,10.2635,10.2634,0.0165
2024-10-10,463973172.11,10.2624,10.2625,10.2624,-0.001
2024-10-11,471566313.99,10.2727,10.2728,10.2727,0.0103
2024-10-15,477873700.04,10.2803,10.2804,10.2803,0.0076
2024-10-16,489007901.76,10.3517,10.3518,10.3517,0.0714
2024-10-17,496368248.95,10.3752,10.3753,10.3752,0.0235
2024-10-18,504755748.1,10.401,10.4011,10.401,0.0258
2024-10-21,512141386.2,10.4183,10.4184,10.4183,0.0173
2024-10-22,520393242.87,10.374,10.3741,10.374,-0.0443
2024-10-24,526053589.35,10.3701,10.3702,10.3701,-0.0039
2024-10-25,535461726.32,10.3904,10.3905,10.3904,0.0203
2024-10-28,543970158.08,10.3763,10.3764,10.3763,-0.0141
2024-10-29,552045953.49,10.3477,10.3478,10.3477,-0.0286
2024-10-30,561404061.08,10.3628,10.3629,10.3628,0.0151
