Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2007-11-21,655361560.3,10.0003,10.0004,10.0003,0.0003
2007-11-22,655438955.8,10.0015,10.0016,10.0015,0.0012
2007-11-23,666417685.84,10.0028,10.0029,10.0028,0.0013
2007-11-24,666428792.61,10.0029,10.003,10.0029,0.0001
2007-11-25,666439904.08,10.0031,10.0032,10.0031,0.0002
2007-11-26,671148723.76,10.0033,10.0034,10.0033,0.0002
2007-11-27,675118281.97,10.0038,10.0039,10.0038,0.0005
2007-11-28,680928617.91,10.0041,10.0042,10.0041,0.0003
2007-11-29,685020237.71,10.0046,10.0047,10.0046,0.0005
2007-11-30,688833719.91,10.005,10.0051,10.005,0.0004
2007-12-01,688863196.94,10.0054,10.0055,10.0054,0.0004
2007-12-02,688892680.84,10.0059,10.006,10.0059,0.0005
2007-12-03,0.0,10.0063,10.0064,10.0063,0.0004
2007-12-04,700258642.35,10.0067,10.0068,10.0067,0.0004
2007-12-05,700288179.65,10.0071,10.0072,10.0071,0.0004
2007-12-06,706883013.09,10.0076,10.0077,10.0076,0.0005
2007-12-07,713192131.43,10.008,10.0081,10.008,0.0004
2007-12-08,713222730.35,10.0084,10.0085,10.0084,0.0004
2007-12-09,713253334.73,10.0088,10.0089,10.0088,0.0004
2007-12-10,713283944.64,10.0093,10.0094,10.0093,0.0005
2007-12-11,719671761.3,10.0097,10.0098,10.0097,0.0004
2007-12-12,724839821.44,10.0101,10.0102,10.0101,0.0004
2007-12-13,730660863.0,10.0137,10.0138,10.0137,0.0036
2007-12-14,738158060.94,10.0082,10.0083,10.0082,-0.0055
2007-12-15,738191563.34,10.0087,10.0088,10.0087,0.0005
2007-12-16,738225070.08,10.0091,10.0092,10.0091,0.0004
2007-12-17,742574618.49,10.0005,10.0006,10.0005,-0.0086
2007-12-18,749652723.4,10.0007,10.0008,10.0007,0.0002
2007-12-19,755982081.16,9.9908,9.9909,9.9908,-0.0099
2007-12-20,762748673.4,9.9787,9.9788,9.9787,-0.0121
2007-12-21,772376215.07,9.9912,9.9913,9.9912,0.0125
2007-12-22,772406569.57,9.9916,9.9917,9.9916,0.0004
2007-12-23,772436929.0,9.992,9.9921,9.992,0.0004
2007-12-24,772467293.32,9.9924,9.9925,9.9924,0.0004
2007-12-25,795374633.24,10.0395,10.0396,10.0395,0.0471
2007-12-26,825282069.13,10.0316,10.0317,10.0316,-0.0079
2007-12-27,854236656.88,10.0484,10.0485,10.0484,0.0168
2007-12-28,889134076.56,10.0558,10.0559,10.0558,0.0074
2007-12-29,889159757.83,10.0561,10.0562,10.0561,0.0003
2007-12-30,889185445.11,10.0564,10.0565,10.0564,0.0003
2007-12-31,889211137.98,10.0567,10.0568,10.0567,0.0003
2008-01-01,889236810.89,10.057,10.0571,10.057,0.0003
2008-01-02,920188248.35,10.0111,10.0112,10.0111,-0.0459
2008-01-03,916604451.56,9.9717,9.9718,9.9717,-0.0394
2008-01-04,913631405.93,9.938,9.9381,9.938,-0.0337
2008-01-05,913656982.48,9.9383,9.9384,9.9383,0.0003
2008-01-06,913682564.54,9.9386,9.9387,9.9386,0.0003
2008-01-07,911368012.89,9.9059,9.906,9.9059,-0.0327
2008-01-08,914398436.53,9.9301,9.9302,9.9301,0.0242
2008-01-09,917366073.12,9.9604,9.9605,9.9604,0.0303
2008-01-10,912292377.19,9.9032,9.9033,9.9032,-0.0572
2008-01-11,911637998.39,9.8926,9.8927,9.8926,-0.0106
2008-01-12,911656174.58,9.8928,9.8929,9.8928,0.0002
2008-01-13,911680520.38,9.893,9.8931,9.893,0.0002
2008-01-14,909807845.72,9.8755,9.8756,9.8755,-0.0175
2008-01-15,907112461.45,9.8391,9.8392,9.8391,-0.0364
2008-01-16,904530908.09,9.8092,9.8093,9.8092,-0.0299
2008-01-17,907175744.15,9.8345,9.8346,9.8345,0.0253
2008-01-18,906981100.84,9.8322,9.8323,9.8322,-0.0023
2008-01-19,907006299.76,9.8324,9.8325,9.8324,0.0002
2008-01-20,907031503.71,9.8327,9.8328,9.8327,0.0003
2008-01-21,904436198.11,9.7986,9.7987,9.7986,-0.0341
2008-01-22,900398626.1,9.7501,9.7502,9.7501,-0.0485
2008-01-23,900873200.41,9.7475,9.7476,9.7475,-0.0026
2008-01-24,900154910.89,9.7408,9.7409,9.7408,-0.0067
2008-01-25,901036676.75,9.7486,9.7487,9.7486,0.0078
2008-01-26,901077392.66,9.749,9.7491,9.749,0.0004
2008-01-27,901118113.36,9.7495,9.7496,9.7495,0.0005
2008-01-28,901504569.01,9.7431,9.7432,9.7431,-0.0064
2008-01-29,902050814.21,9.7451,9.7452,9.7451,0.002
2008-01-30,902587933.28,9.7471,9.7472,9.7471,0.002
2008-01-31,903086621.05,9.7477,9.7478,9.7477,0.0006
2008-02-01,905393039.85,9.7686,9.7687,9.7686,0.0209
2008-02-02,905431807.62,9.769,9.7691,9.769,0.0004
2008-02-03,905470580.89,9.7694,9.7695,9.7694,0.0004
2008-02-04,905336561.49,9.7566,9.7567,9.7566,-0.0128
2008-02-05,903616267.51,9.7487,9.7488,9.7487,-0.0079
2008-02-06,900845084.47,9.7186,9.7187,9.7186,-0.0301
2008-02-07,899671453.97,9.7013,9.7014,9.7013,-0.0173
2008-02-08,902807618.2,9.7299,9.73,9.7299,0.0286
2008-02-09,902837990.0,9.7303,9.7304,9.7303,0.0004
2008-02-10,902868368.02,9.7306,9.7307,9.7306,0.0003
2008-02-11,902987324.98,9.733,9.7331,9.733,0.0024
2008-02-12,906048661.18,9.758,9.7581,9.758,0.025
2008-02-13,908631563.18,9.7799,9.78,9.7799,0.0219
2008-02-14,908686158.64,9.7704,9.7705,9.7704,-0.0095
2008-02-15,907925720.33,9.7598,9.7599,9.7598,-0.0106
2008-02-16,907953934.75,9.7601,9.7602,9.7601,0.0003
2008-02-17,907982155.38,9.7604,9.7605,9.7604,0.0003
2008-02-18,908405694.47,9.7564,9.7565,9.7564,-0.004
2008-02-19,911218131.59,9.7833,9.7834,9.7833,0.0269
2008-02-20,910571638.18,9.773,9.7731,9.773,-0.0103
2008-02-21,910600691.69,9.7734,9.7735,9.7734,0.0004
2008-02-22,910579225.27,9.7624,9.7625,9.7624,-0.011
2008-02-23,910610851.28,9.7628,9.7629,9.7628,0.0004
2008-02-24,910642485.41,9.7631,9.7632,9.7631,0.0003
2008-02-25,913447280.34,9.7893,9.7894,9.7893,0.0262
2008-02-26,912862136.12,9.7801,9.7802,9.7801,-0.0092
2008-02-27,912235402.3,9.772,9.7721,9.772,-0.0081
2008-02-28,914637433.96,9.7903,9.7904,9.7903,0.0183
2008-02-29,916261120.23,9.8035,9.8036,9.8035,0.0132
2008-03-01,916290792.34,9.8038,9.8039,9.8038,0.0003
2008-03-02,916320473.12,9.8041,9.8042,9.8041,0.0003
2008-03-03,918552902.87,9.7945,9.7946,9.7945,-0.0096
2008-03-04,917568437.33,9.7694,9.7695,9.7694,-0.0251
2008-03-05,917192752.77,9.7605,9.7606,9.7605,-0.0089
2008-03-06,918296565.35,9.7701,9.7702,9.7701,0.0096
2008-03-07,918391632.14,9.7678,9.7679,9.7678,-0.0023
2008-03-08,918420238.0,9.7681,9.7682,9.7681,0.0003
2008-03-09,918448851.35,9.7684,9.7685,9.7684,0.0003
2008-03-10,916519450.27,9.7466,9.7467,9.7466,-0.0218
2008-03-11,919933945.06,9.7789,9.779,9.7789,0.0323
2008-03-12,921161312.96,9.7898,9.7899,9.7898,0.0109
2008-03-13,918816863.56,9.7646,9.7647,9.7646,-0.0252
2008-03-14,919843852.16,9.7735,9.7736,9.7735,0.0089
2008-03-15,919872593.91,9.7738,9.7739,9.7738,0.0003
2008-03-16,919901343.64,9.7741,9.7742,9.7741,0.0003
2008-03-17,918331214.02,9.7571,9.7572,9.7571,-0.017
2008-03-18,921479408.66,9.7768,9.7769,9.7768,0.0197
2008-03-19,920790087.3,9.7654,9.7655,9.7654,-0.0114
2008-03-20,918894662.41,9.7432,9.7433,9.7432,-0.0222
2008-03-21,919594255.17,9.7478,9.7479,9.7478,0.0046
2008-03-22,919629292.19,9.7482,9.7483,9.7482,0.0004
2008-03-23,919664338.23,9.7485,9.7486,9.7485,0.0003
2008-03-24,921132315.73,9.7576,9.7577,9.7576,0.0091
2008-03-25,923411768.49,9.7793,9.7794,9.7793,0.0217
2008-03-26,922841243.25,9.7716,9.7717,9.7716,-0.0077
2008-03-27,923672874.54,9.7825,9.7826,9.7825,0.0109
2008-03-28,924736128.63,9.7899,9.79,9.7899,0.0074
2008-03-29,924764619.06,9.7902,9.7903,9.7902,0.0003
2008-03-30,924793117.82,9.7905,9.7906,9.7905,0.0003
2008-03-31,924179726.01,9.7723,9.7724,9.7723,-0.0182
2008-04-01,926573670.12,9.7853,9.7854,9.7853,0.013
2008-04-02,926628855.59,9.7817,9.7818,9.7817,-0.0036
2008-04-03,926198069.58,9.7751,9.7752,9.7751,-0.0066
2008-04-04,926342816.68,9.7744,9.7745,9.7744,-0.0007
2008-04-05,926372559.94,9.7747,9.7748,9.7747,0.0003
2008-04-06,926404520.5,9.775,9.7751,9.775,0.0003
2008-04-07,926429475.48,9.7753,9.7754,9.7753,0.0003
2008-04-08,928957396.47,9.7973,9.7974,9.7973,0.022
2008-04-09,929238561.74,9.7928,9.7929,9.7928,-0.0045
2008-04-10,928858841.0,9.7813,9.7814,9.7813,-0.0115
2008-04-11,930644396.82,9.798,9.7981,9.798,0.0167
2008-04-12,930671087.72,9.7983,9.7984,9.7983,0.0003
2008-04-13,930697787.16,9.7985,9.7986,9.7985,0.0002
2008-04-14,930724495.09,9.7988,9.7989,9.7988,0.0003
2008-04-15,930751211.65,9.7991,9.7992,9.7991,0.0003
2008-04-16,934240460.49,9.824,9.8241,9.824,0.0249
2008-04-17,938535620.05,9.8605,9.8606,9.8605,0.0365
2008-04-18,938529735.9,9.8574,9.8575,9.8574,-0.0031
2008-04-19,938556176.94,9.8577,9.8578,9.8577,0.0003
2008-04-20,938582626.28,9.8579,9.858,9.8579,0.0002
2008-04-21,936593307.02,9.8373,9.8374,9.8373,-0.0206
2008-04-22,939450335.1,9.8649,9.865,9.8649,0.0276
2008-04-23,937089178.99,9.8371,9.8372,9.8371,-0.0278
2008-04-24,935915151.42,9.8242,9.8243,9.8242,-0.0129
2008-04-25,934652129.02,9.8088,9.8089,9.8088,-0.0154
2008-04-26,934680667.95,9.8091,9.8092,9.8091,0.0003
2008-04-27,934709214.94,9.8094,9.8095,9.8094,0.0003
2008-04-28,936494158.04,9.8248,9.8249,9.8248,0.0154
2008-04-29,936564809.0,9.8213,9.8214,9.8213,-0.0035
2008-04-30,935931089.2,9.8133,9.8134,9.8133,-0.008
2008-05-01,935960897.75,9.8137,9.8138,9.8137,0.0004
2008-05-02,938464914.92,9.8361,9.8362,9.8361,0.0224
2008-05-03,938493902.13,9.8364,9.8365,9.8364,0.0003
2008-05-04,938522897.37,9.8367,9.8368,9.8367,0.0003
2008-05-05,938551900.79,9.837,9.8371,9.837,0.0003
2008-05-06,938793479.03,9.8348,9.8349,9.8348,-0.0022
2008-05-07,939521429.99,9.8418,9.8419,9.8418,0.007
2008-05-08,940023985.6,9.8461,9.8462,9.8461,0.0043
2008-05-09,938919151.64,9.8326,9.8327,9.8326,-0.0135
2008-05-10,938948660.21,9.8329,9.833,9.8329,0.0003
2008-05-11,938978177.29,9.8332,9.8333,9.8332,0.0003
2008-05-12,937449366.09,9.8223,9.8224,9.8223,-0.0109
2008-05-13,937410855.69,9.8166,9.8167,9.8166,-0.0057
2008-05-14,939593924.88,9.838,9.8381,9.838,0.0214
2008-05-15,941926942.62,9.8535,9.8536,9.8535,0.0155
2008-05-16,946802111.39,9.8926,9.8927,9.8926,0.0391
2008-05-17,946832273.23,9.8929,9.893,9.8929,0.0003
2008-05-18,946862444.56,9.8932,9.8933,9.8932,0.0003
2008-05-19,946892625.33,9.8935,9.8936,9.8935,0.0003
2008-05-20,949684918.54,9.913,9.9131,9.913,0.0195
2008-05-21,954058258.81,9.9507,9.9508,9.9507,0.0377
2008-05-22,952853161.93,9.9296,9.9297,9.9296,-0.0211
2008-05-23,952520626.39,9.92,9.9201,9.92,-0.0096
2008-05-24,952549389.05,9.9203,9.9204,9.9203,0.0003
2008-05-25,952578159.85,9.9206,9.9207,9.9206,0.0003
2008-05-26,949018357.1,9.878,9.8781,9.878,-0.0426
2008-05-27,948396336.3,9.8762,9.8763,9.8762,-0.0018
2008-05-28,943593468.13,9.8184,9.8185,9.8184,-0.0578
2008-05-29,944904484.83,9.8281,9.8282,9.8281,0.0097
2008-05-30,945150026.28,9.8294,9.8295,9.8294,0.0013
2008-05-31,945182191.61,9.8298,9.8299,9.8298,0.0004
2008-06-01,945214317.56,9.8301,9.8302,9.8301,0.0003
2008-06-02,941252456.65,9.7791,9.7792,9.7791,-0.051
2008-06-03,939975788.4,9.7632,9.7633,9.7632,-0.0159
2008-06-04,938893567.91,9.7538,9.7539,9.7538,-0.0094
2008-06-05,939604157.94,9.7501,9.7502,9.7501,-0.0037
2008-06-06,943053742.46,9.7718,9.7719,9.7718,0.0217
2008-06-09,941392528.06,9.7473,9.7474,9.7473,-0.0245
2008-06-10,938865233.08,9.7152,9.7153,9.7152,-0.0321
2008-06-11,938685886.06,9.7091,9.7092,9.7091,-0.0061
2008-06-12,938092495.36,9.7068,9.7069,9.7068,-0.0023
2008-06-13,937132647.0,9.697,9.6971,9.697,-0.0098
2008-06-16,939141505.53,9.7131,9.7132,9.7131,0.0161
2008-06-17,939341098.37,9.7051,9.7052,9.7051,-0.008
2008-06-18,937870418.2,9.6887,9.6888,9.6887,-0.0164
2008-06-19,933828934.72,9.6447,9.6448,9.6447,-0.044
2008-06-20,939202403.53,9.6901,9.6902,9.6901,0.0454
2008-06-23,940076886.82,9.6936,9.6937,9.6936,0.0035
2008-06-24,939981551.83,9.6871,9.6872,9.6871,-0.0065
2008-06-25,942993709.5,9.7172,9.7173,9.7172,0.0301
2008-06-26,942228043.2,9.7052,9.7053,9.7052,-0.012
2008-06-27,942598748.32,9.7023,9.7024,9.7023,-0.0029
2008-06-30,941290908.54,9.6762,9.6763,9.6762,-0.0261
2008-07-02,937937848.85,9.6425,9.6426,9.6425,-0.0337
2008-07-03,932932058.46,9.5842,9.5843,9.5842,-0.0583
2008-07-04,935550682.06,9.5984,9.5985,9.5984,0.0142
2008-07-07,935596116.91,9.5934,9.5935,9.5934,-0.005
2008-07-08,934897290.78,9.5776,9.5777,9.5776,-0.0158
2008-07-09,935050868.5,9.5752,9.5753,9.5752,-0.0024
2008-07-10,933847633.99,9.5631,9.5632,9.5631,-0.0121
2008-07-11,935532292.52,9.5778,9.5779,9.5778,0.0147
2008-07-14,934387821.08,9.5626,9.5627,9.5626,-0.0152
2008-07-15,929318098.24,9.5068,9.5069,9.5068,-0.0558
2008-07-16,925652659.99,9.4613,9.4614,9.4613,-0.0455
2008-07-18,926529510.81,9.4643,9.4644,9.4643,0.003
2008-07-21,932099212.12,9.5176,9.5177,9.5176,0.0533
2008-07-22,931628318.87,9.517,9.5171,9.517,-0.0006
2008-07-23,935490059.0,9.5485,9.5486,9.5485,0.0315
2008-07-24,936269732.12,9.5431,9.5432,9.5431,-0.0054
2008-07-25,935329603.74,9.5301,9.5302,9.5301,-0.013
2008-07-28,937181310.09,9.5417,9.5418,9.5417,0.0116
2008-07-29,935348666.58,9.524,9.5241,9.524,-0.0177
2008-07-30,934004883.49,9.5076,9.5077,9.5076,-0.0164
2008-07-31,936311480.93,9.5348,9.5349,9.5348,0.0272
2008-08-01,938435510.98,9.5489,9.549,9.5489,0.0141
2008-08-04,938775477.24,9.5452,9.5453,9.5452,-0.0037
2008-08-05,937459366.98,9.5289,9.529,9.5289,-0.0163
2008-08-06,941038196.07,9.5606,9.5607,9.5606,0.0317
2008-08-07,945617352.5,9.6141,9.6142,9.6141,0.0535
2008-08-08,943449737.17,9.5893,9.5894,9.5893,-0.0248
2008-08-11,946988012.45,9.6239,9.624,9.6239,0.0346
2008-08-13,947752754.34,9.6213,9.6214,9.6213,-0.0026
2008-08-14,948267237.79,9.6259,9.626,9.6259,0.0046
2008-08-15,948489383.49,9.6364,9.6365,9.6364,0.0105
2008-08-18,945436863.53,9.5993,9.5994,9.5993,-0.0371
2008-08-19,943895985.11,9.5808,9.5809,9.5808,-0.0185
2008-08-20,943875953.09,9.571,9.5711,9.571,-0.0098
2008-08-21,939952831.55,9.5289,9.529,9.5289,-0.0421
2008-08-22,942168921.31,9.5502,9.5503,9.5502,0.0213
2008-08-25,942540101.81,9.5514,9.5515,9.5514,0.0012
2008-08-26,941129228.93,9.536,9.5361,9.536,-0.0154
2008-08-27,943772099.74,9.5632,9.5633,9.5632,0.0272
2008-08-28,946054033.78,9.5754,9.5755,9.5754,0.0122
2008-08-29,947942543.51,9.5865,9.5866,9.5865,0.0111
2008-09-01,946413526.94,9.567,9.5671,9.567,-0.0195
2008-09-02,942833889.41,9.5249,9.525,9.5249,-0.0421
2008-09-03,940565832.56,9.4924,9.4925,9.4924,-0.0325
2008-09-04,943644022.53,9.5117,9.5118,9.5117,0.0193
2008-09-05,942450591.66,9.4858,9.4859,9.4858,-0.0259
2008-09-08,950060043.85,9.5442,9.5443,9.5442,0.0584
2008-09-09,950243102.72,9.5417,9.5418,9.5417,-0.0025
2008-09-10,947523796.52,9.5109,9.511,9.5109,-0.0308
2008-09-11,946444439.22,9.4946,9.4947,9.4946,-0.0163
2008-09-12,949560049.59,9.5225,9.5226,9.5225,0.0279
2008-09-15,945976923.43,9.4832,9.4833,9.4832,-0.0393
2008-09-16,941024100.38,9.4281,9.4282,9.4281,-0.0551
2008-09-17,936463540.82,9.3703,9.3704,9.3703,-0.0578
2008-09-18,939448626.5,9.3779,9.378,9.3779,0.0076
2008-09-19,948532587.61,9.4507,9.4508,9.4507,0.0728
2008-09-22,948658088.46,9.4334,9.4335,9.4334,-0.0173
