Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2020-04-13,267097674.32,10.0236,10.0237,10.0236,0.0172
2020-04-14,278575614.7,10.0471,10.0472,10.0471,0.0235
2020-04-15,287803507.48,9.9758,9.9759,9.9758,-0.0713
2020-04-16,294942218.0,9.8394,9.8395,9.8394,-0.1364
2020-04-17,309875287.53,10.0225,10.0226,10.0225,0.1831
2020-04-20,319370895.59,10.1315,10.1316,10.1315,0.109
2020-04-21,323119293.89,10.1069,10.107,10.1069,-0.0246
2020-04-22,333547437.23,10.2099,10.21,10.2099,0.103
2020-04-23,342023775.8,10.279,10.2791,10.279,0.0691
2020-04-24,345406770.98,10.1846,10.1847,10.1846,-0.0944
2020-04-27,354327296.4,10.2614,10.2615,10.2614,0.0768
2020-04-28,364405877.08,10.3374,10.3375,10.3374,0.076
2020-04-29,372378217.61,10.3898,10.3899,10.3898,0.0524
2020-04-30,383872331.71,10.519,10.5191,10.519,0.1292
2020-05-05,388575788.18,10.3708,10.3709,10.3708,-0.1482
2020-05-07,397327716.94,10.2613,10.2614,10.2613,-0.1095
2020-05-08,411994323.25,10.3246,10.3247,10.3246,0.0633
2020-05-11,427312806.42,10.4647,10.4648,10.4647,0.1401
2020-05-12,437697492.97,10.5341,10.5342,10.5341,0.0694
2020-05-13,445486210.25,10.4984,10.4985,10.4984,-0.0357
2020-05-14,448009135.71,10.4051,10.4052,10.4051,-0.0933
2020-05-15,456925932.16,10.4395,10.4396,10.4395,0.0344
2020-05-18,466780528.08,10.464,10.4641,10.464,0.0245
2020-05-19,486829709.16,10.6213,10.6214,10.6213,0.1573
2020-05-20,495899585.71,10.7027,10.7028,10.7027,0.0814
2020-05-21,503010599.83,10.6887,10.6888,10.6887,-0.014
2020-05-22,505629558.66,10.6129,10.613,10.6129,-0.0758
2020-05-25,523794556.94,10.7027,10.7028,10.7027,0.0898
2020-05-26,537413165.51,10.8035,10.8036,10.8035,0.1008
2020-05-27,547273110.24,10.8965,10.8966,10.8965,0.093
2020-05-28,550299103.29,10.8243,10.8244,10.8243,-0.0722
2020-05-29,558886372.37,10.8809,10.881,10.8809,0.0566
2020-06-01,572444890.94,10.9884,10.9885,10.9884,0.1075
2020-06-02,586896713.92,11.1116,11.1117,11.1116,0.1232
2020-06-04,605147454.84,11.3108,11.3109,11.3108,0.1992
2020-06-05,620382467.05,11.4477,11.4478,11.4477,0.1369
2020-06-08,626455525.93,11.4374,11.4375,11.4374,-0.0103
2020-06-09,625007844.47,11.2325,11.2326,11.2325,-0.2049
2020-06-10,635799769.99,11.305,11.3051,11.305,0.0725
2020-06-11,636913158.15,11.1738,11.1739,11.1738,-0.1312
2020-06-12,648282702.17,11.1017,11.1018,11.1017,-0.0721
2020-06-15,662197229.41,10.8172,10.8173,10.8172,-0.2845
2020-06-16,695342264.24,10.9778,10.9779,10.9778,0.1606
2020-06-17,711051633.25,11.0508,11.0509,11.0508,0.073
2020-06-18,723473749.12,11.0417,11.0418,11.0417,-0.0091
2020-06-19,732869185.03,11.0096,11.0097,11.0096,-0.0321
2020-06-22,744141788.88,10.8725,10.8726,10.8725,-0.1371
2020-06-23,780406363.22,10.8898,10.8899,10.8898,0.0173
2020-06-24,797107268.8,10.7365,10.7366,10.7365,-0.1533
2020-06-25,833833404.14,10.7113,10.7114,10.7113,-0.0252
2020-06-26,913875566.41,10.7509,10.751,10.7509,0.0396
2020-06-29,985862193.48,10.7705,10.7706,10.7705,0.0196
2020-06-30,1119544083.94,10.8132,10.8133,10.8132,0.0427
2020-07-01,1320772634.28,10.9094,10.9095,10.9094,0.0962
2020-07-02,1342125146.51,11.079,11.0791,11.079,0.1696
2020-07-03,1339833190.35,11.062,11.0621,11.062,-0.017
2020-07-07,1337778762.29,11.0399,11.04,11.0399,-0.0221
2020-07-08,1326769645.97,10.9524,10.9525,10.9524,-0.0875
2020-07-09,1328487983.0,10.9654,10.9655,10.9654,0.013
2020-07-10,1316377927.23,10.8601,10.8602,10.8601,-0.1053
2020-07-13,1306084012.61,10.7732,10.7733,10.7732,-0.0869
2020-07-14,1304545280.06,10.7592,10.7593,10.7592,-0.014
2020-07-15,1316790317.08,10.8556,10.8557,10.8556,0.0964
2020-07-16,1309131298.21,10.7926,10.7927,10.7926,-0.063
2020-07-17,1321384455.22,10.8926,10.8927,10.8926,0.1
2020-07-20,1318015247.35,10.8623,10.8624,10.8623,-0.0303
2020-07-21,1333722885.28,10.9899,10.99,10.9899,0.1276
2020-07-22,1310031449.82,10.7964,10.7965,10.7964,-0.1935
2020-07-23,1314760745.66,10.8314,10.8315,10.8314,0.035
2020-07-24,1295494605.41,10.6717,10.6718,10.6717,-0.1597
2020-07-29,1299893303.33,10.6958,10.6959,10.6958,0.0241
2020-07-30,1281890421.09,10.5383,10.5384,10.5383,-0.1575
2020-07-31,1295832491.29,10.646,10.6461,10.646,0.1077
2020-08-03,1289422651.27,10.5834,10.5835,10.5834,-0.0626
2020-08-04,1300979446.82,10.672,10.6721,10.672,0.0886
2020-08-05,1310758214.97,10.7483,10.7484,10.7483,0.0763
2020-08-06,1307543841.26,10.7204,10.7205,10.7204,-0.0279
2020-08-07,1299982750.16,10.6562,10.6563,10.6562,-0.0642
2020-08-10,1298333308.17,10.6353,10.6354,10.6353,-0.0209
2020-08-11,1311858122.1,10.7411,10.7412,10.7411,0.1058
2020-08-13,1324170882.43,10.8394,10.8395,10.8394,0.0983
2020-08-14,1306359004.48,10.6914,10.6915,10.6914,-0.148
2020-08-17,1297596249.43,10.6168,10.6169,10.6168,-0.0746
2020-08-18,1307432595.67,10.6897,10.6898,10.6897,0.0729
2020-08-19,1290381467.19,10.5489,10.549,10.5489,-0.1408
2020-08-20,1279740389.11,10.4599,10.46,10.4599,-0.089
2020-08-21,1285638417.63,10.4957,10.4958,10.4957,0.0358
2020-08-24,1306534391.22,10.6528,10.6529,10.6528,0.1571
2020-08-25,1306533277.68,10.6473,10.6474,10.6473,-0.0055
2020-08-26,1313690239.85,10.7017,10.7018,10.7017,0.0544
2020-08-27,1313847083.32,10.7,10.7001,10.7,-0.0017
2020-08-28,1310819585.41,10.6705,10.6706,10.6705,-0.0295
2020-08-31,1302088156.34,10.5941,10.5942,10.5941,-0.0764
2020-09-01,1293280768.29,10.5144,10.5145,10.5144,-0.0797
2020-09-02,1304101465.38,10.5969,10.597,10.5969,0.0825
2020-09-03,1302233927.03,10.5745,10.5746,10.5745,-0.0224
2020-09-08,1284824730.43,10.4281,10.4282,10.4281,-0.1464
2020-09-09,1286976841.92,10.4301,10.4302,10.4301,0.002
2020-09-10,1282204765.34,10.3821,10.3822,10.3821,-0.048
2020-09-11,1271995244.12,10.2919,10.292,10.2919,-0.0902
2020-09-14,1262980254.15,10.2089,10.209,10.2089,-0.083
2020-09-15,1275094955.61,10.3005,10.3006,10.3005,0.0916
2020-09-16,1281356466.01,10.3466,10.3467,10.3466,0.0461
2020-09-17,1274875458.65,10.2855,10.2856,10.2855,-0.0611
2020-09-18,1277132846.72,10.2942,10.2943,10.2942,0.0087
2020-09-21,1267416546.04,10.2065,10.2066,10.2065,-0.0877
2020-09-22,1257557203.62,10.1223,10.1224,10.1223,-0.0842
2020-09-23,1255562887.42,10.0984,10.0985,10.0984,-0.0239
2020-09-24,1239292984.3,9.9596,9.9597,9.9596,-0.1388
2020-09-25,1236000071.15,9.9121,9.9122,9.9121,-0.0475
2020-09-28,1255566888.21,10.0533,10.0534,10.0533,0.1412
2020-09-29,1255990158.02,10.0477,10.0478,10.0477,-0.0056
2020-09-30,1236983995.36,9.8878,9.8879,9.8878,-0.1599
2020-10-01,1250985649.09,9.9857,9.9858,9.9857,0.0979
2020-10-02,1241323336.81,9.9014,9.9015,9.9014,-0.0843
2020-10-05,1249406415.72,9.9526,9.9527,9.9526,0.0512
2020-10-06,1256599483.6,10.003,10.0031,10.003,0.0504
2020-10-07,1265457042.38,10.0669,10.067,10.0669,0.0639
2020-10-08,1274052049.19,10.1309,10.131,10.1309,0.064
2020-10-09,1265987289.77,10.0622,10.0623,10.0622,-0.0687
2020-10-12,1276108323.82,10.1376,10.1377,10.1376,0.0754
2020-10-14,1262870089.58,10.0243,10.0244,10.0243,-0.1133
2020-10-15,1244926530.41,9.8736,9.8737,9.8736,-0.1507
2020-10-16,1236218147.31,9.7934,9.7935,9.7934,-0.0802
2020-10-19,1216839585.11,9.6237,9.6238,9.6237,-0.1697
2020-10-20,1225903785.63,9.6724,9.6725,9.6724,0.0487
2020-10-21,1231616109.6,9.7028,9.7029,9.7028,0.0304
2020-10-22,1235047108.96,9.722,9.7221,9.722,0.0192
2020-10-26,1231544435.9,9.685,9.6851,9.685,-0.037
2020-10-27,1233494408.41,9.6883,9.6884,9.6883,0.0033
2020-10-28,1235631809.23,9.6917,9.6918,9.6917,0.0034
2020-10-29,1233789834.86,9.6692,9.6693,9.6692,-0.0225
2020-10-30,1228817761.89,9.6162,9.6163,9.6162,-0.053
2020-11-02,1239885660.02,9.6746,9.6747,9.6746,0.0584
2020-11-03,1258154593.82,9.8076,9.8077,9.8076,0.133
2020-11-04,1257275412.68,9.7898,9.7899,9.7898,-0.0178
2020-11-05,1299425556.07,10.1083,10.1084,10.1083,0.3185
2020-11-06,1295897643.94,10.0724,10.0725,10.0724,-0.0359
2020-11-09,1317629669.19,10.231,10.2311,10.231,0.1586
2020-11-10,1381016883.51,10.7158,10.7159,10.7158,0.4848
2020-11-11,1384216578.16,10.7274,10.7275,10.7274,0.0116
2020-11-12,1375008150.69,10.6469,10.647,10.6469,-0.0805
2020-11-13,1383478434.99,10.7086,10.7087,10.7086,0.0617
2020-11-16,1392663268.05,10.7646,10.7647,10.7646,0.056
2020-11-17,1394390963.78,10.7698,10.7699,10.7698,0.0052
2020-11-18,1408523392.36,10.8672,10.8673,10.8672,0.0974
2020-11-19,1410164454.6,10.871,10.8711,10.871,0.0038
2020-11-20,1432083971.63,11.0273,11.0274,11.0273,0.1563
2020-11-23,1463739338.95,11.2633,11.2634,11.2633,0.236
2020-11-24,1451680291.95,11.1628,11.1629,11.1628,-0.1005
2020-11-25,1464166829.27,11.2568,11.2569,11.2568,0.094
2020-11-26,1479288226.84,11.3595,11.3596,11.3595,0.1027
2020-11-27,1484153236.25,11.3782,11.3783,11.3782,0.0187
2020-11-30,1451938984.29,11.1151,11.1152,11.1151,-0.2631
2020-12-01,1475152770.3,11.247,11.2471,11.247,0.1319
2020-12-02,1471995843.78,11.2085,11.2086,11.2085,-0.0385
2020-12-03,1495410152.88,11.3589,11.359,11.3589,0.1504
2020-12-04,1512132688.96,11.4618,11.4619,11.4618,0.1029
2020-12-08,1541524000.96,11.6587,11.6588,11.6587,0.1969
2020-12-09,1546151684.63,11.6586,11.6587,11.6586,-0.0001
2020-12-14,1541830022.04,11.5863,11.5864,11.5863,-0.0723
2020-12-15,1549954734.88,11.58,11.5801,11.58,-0.0063
2020-12-16,1568951622.25,11.6307,11.6308,11.6307,0.0507
2020-12-17,1576755834.15,11.6159,11.616,11.6159,-0.0148
2020-12-18,1581944760.83,11.5952,11.5953,11.5952,-0.0207
2020-12-21,1512435203.87,11.0028,11.0029,11.0028,-0.5924
2020-12-22,1553555364.48,11.1186,11.1187,11.1186,0.1158
2020-12-23,1550908779.8,10.973,10.9731,10.973,-0.1456
2020-12-24,1593646548.19,11.1718,11.1719,11.1718,0.1988
2020-12-25,1617448159.36,11.238,11.2381,11.238,0.0662
2020-12-28,1607958897.79,11.0296,11.0297,11.0296,-0.2084
2020-12-29,1677524668.01,11.2305,11.2306,11.2305,0.2009
2020-12-30,1715927560.36,11.0917,11.0918,11.0917,-0.1388
2021-01-04,1786193708.8,11.1822,11.1823,11.1822,0.0905
2021-01-05,1810406036.61,11.3284,11.3285,11.3284,0.1462
2021-01-06,1813966591.55,11.3534,11.3535,11.3534,0.025
2021-01-07,1834403075.41,11.4811,11.4812,11.4811,0.1277
2021-01-08,1846924561.16,11.5595,11.5596,11.5595,0.0784
2021-01-11,1848506723.72,11.5692,11.5693,11.5692,0.0097
2021-01-12,1860032939.0,11.6377,11.6378,11.6377,0.0685
2021-01-13,1874995552.35,11.7307,11.7308,11.7307,0.093
2021-01-14,1865165203.14,11.6704,11.6705,11.6704,-0.0603
2021-01-15,1856189612.66,11.6124,11.6125,11.6124,-0.058
2021-01-18,1847339343.34,11.5549,11.555,11.5549,-0.0575
