Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2002-11-27,9135281.19,9.9985,9.9986,9.9985,-0.0015
2002-11-28,9159162.15,10.0246,10.0247,10.0246,0.0261
2002-11-29,9225699.01,10.0318,10.0319,10.0318,0.0072
2002-11-30,9225538.25,10.0316,10.0317,10.0316,-0.0002
2002-12-01,9225369.48,10.0314,10.0315,10.0314,-0.0002
2002-12-02,9493952.96,10.0511,10.0512,10.0511,0.0197
2002-12-03,9525419.54,10.0316,10.0317,10.0316,-0.0195
2002-12-04,9649190.49,10.0563,10.0564,10.0563,0.0247
2002-12-05,9649000.89,10.0561,10.0562,10.0561,-0.0002
2002-12-06,9757151.88,10.0749,10.075,10.0749,0.0188
2002-12-07,9756958.28,10.0747,10.0748,10.0747,-0.0002
2002-12-08,9756764.68,10.0745,10.0746,10.0745,-0.0002
2002-12-09,9889812.83,10.0471,10.0472,10.0471,-0.0274
2002-12-10,9889594.94,10.0469,10.047,10.0469,-0.0002
2002-12-11,9995527.44,10.0529,10.053,10.0529,0.006
2002-12-12,10382999.57,9.9927,9.9928,9.9927,-0.0602
2002-12-13,11000412.07,9.9587,9.9588,9.9587,-0.034
2002-12-14,11000131.55,9.9584,9.9585,9.9584,-0.0003
2002-12-15,10999851.04,9.9582,9.9583,9.9582,-0.0002
2002-12-16,11235188.55,9.9056,9.9057,9.9056,-0.0526
2002-12-17,11495426.98,9.9621,9.9622,9.9621,0.0565
2002-12-18,11831806.37,9.9507,9.9508,9.9507,-0.0114
2002-12-19,11841840.71,9.9591,9.9592,9.9591,0.0084
2002-12-20,12127848.11,9.997,9.9971,9.997,0.0379
2002-12-21,12127552.39,9.9968,9.9969,9.9968,-0.0002
2002-12-22,12127256.68,9.9965,9.9966,9.9965,-0.0003
2002-12-23,12292834.53,10.0502,10.0503,10.0502,0.0537
2002-12-24,12871939.91,10.1143,10.1144,10.1143,0.0641
2002-12-25,13458030.82,10.1354,10.1355,10.1354,0.0211
2002-12-26,13815594.7,10.1594,10.1595,10.1594,0.024
2002-12-27,15025887.28,10.1921,10.1922,10.1921,0.0327
2002-12-28,15025660.41,10.192,10.1921,10.192,-0.0001
2002-12-29,15025433.55,10.1918,10.1919,10.1918,-0.0002
2002-12-30,15025206.69,10.1917,10.1918,10.1917,-0.0001
2002-12-31,15024979.87,10.1915,10.1916,10.1915,-0.0002
2003-01-01,15024745.46,10.1914,10.1915,10.1914,-0.0001
2003-01-02,15609878.63,10.0852,10.0853,10.0852,-0.1062
2003-01-03,15761895.94,10.1834,10.1835,10.1834,0.0982
2003-01-04,15761543.26,10.1831,10.1832,10.1831,-0.0003
2003-01-05,15761190.58,10.1829,10.183,10.1829,-0.0002
2003-01-06,15864229.14,10.2495,10.2496,10.2495,0.0666
2003-01-07,15949272.43,10.3044,10.3045,10.3044,0.0549
2003-01-08,15768784.52,10.1878,10.1879,10.1878,-0.1166
2003-01-09,15737731.19,10.1037,10.1038,10.1037,-0.0841
2003-01-10,15768595.23,10.1235,10.1236,10.1235,0.0198
2003-01-11,15768205.72,10.1232,10.1233,10.1232,-0.0003
2003-01-12,15767816.21,10.123,10.1231,10.123,-0.0002
2003-01-13,15934915.8,10.1658,10.1659,10.1658,0.0428
2003-01-14,16237424.55,10.3393,10.3394,10.3393,0.1735
2003-01-15,16192927.67,10.311,10.3111,10.311,-0.0283
2003-01-16,16203052.38,10.3174,10.3175,10.3174,0.0064
2003-01-17,16130008.87,10.2709,10.271,10.2709,-0.0465
2003-01-18,16129651.04,10.2707,10.2708,10.2707,-0.0002
2003-01-19,16129293.22,10.2705,10.2706,10.2705,-0.0002
2003-01-20,16219300.52,10.3278,10.3279,10.3278,0.0573
2003-01-21,16397099.19,10.441,10.4411,10.441,0.1132
