Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2002-11-27,14525554.52,9.9987,9.9988,9.9987,-0.0013
2002-11-28,14552622.26,10.0174,10.0175,10.0174,0.0187
2002-11-29,14871351.85,10.0226,10.0227,10.0226,0.0052
2002-11-30,14871739.88,10.0228,10.0229,10.0228,0.0002
2002-12-01,14872119.9,10.0231,10.0232,10.0231,0.0003
2002-12-02,15180975.65,10.0422,10.0423,10.0422,0.0191
2002-12-03,15519920.04,10.0208,10.0209,10.0208,-0.0214
2002-12-04,15612723.26,10.0355,10.0356,10.0355,0.0147
2002-12-05,15613187.76,10.0358,10.0359,10.0358,0.0003
2002-12-06,16010910.19,10.0438,10.0439,10.0438,0.008
2002-12-07,16011368.32,10.0441,10.0442,10.0441,0.0003
2002-12-08,16011826.56,10.0443,10.0444,10.0443,0.0002
2002-12-09,15999092.29,10.0364,10.0365,10.0364,-0.0079
2002-12-10,15999544.75,10.0366,10.0367,10.0366,0.0002
2002-12-11,16345577.91,10.0311,10.0312,10.0311,-0.0055
2002-12-12,16593033.91,9.9815,9.9816,9.9815,-0.0496
2002-12-13,16611616.74,9.9328,9.9329,9.9328,-0.0487
2002-12-14,16612006.66,9.933,9.9331,9.933,0.0002
2002-12-15,16612396.66,9.9333,9.9334,9.9333,0.0003
2002-12-16,16867556.53,9.8777,9.8778,9.8777,-0.0556
2002-12-17,17177212.57,9.9092,9.9093,9.9092,0.0315
2002-12-18,17591387.67,9.9133,9.9134,9.9133,0.0041
2002-12-19,17734739.41,9.9068,9.9069,9.9068,-0.0065
2002-12-20,17946940.39,9.9202,9.9203,9.9202,0.0134
2002-12-21,17947315.15,9.9204,9.9205,9.9204,0.0002
2002-12-22,17947690.04,9.9206,9.9207,9.9206,0.0002
2002-12-23,18149868.13,9.9795,9.9796,9.9795,0.0589
2002-12-24,18424613.18,10.0462,10.0463,10.0462,0.0667
2002-12-25,19261890.96,10.0594,10.0595,10.0594,0.0132
2002-12-26,20456605.42,10.0888,10.0889,10.0888,0.0294
2002-12-27,21552728.32,10.1152,10.1153,10.1152,0.0264
2002-12-28,21553128.27,10.1154,10.1155,10.1154,0.0002
2002-12-29,21553528.27,10.1155,10.1156,10.1155,0.0001
2002-12-30,21553928.38,10.1157,10.1158,10.1157,0.0002
2002-12-31,21554328.6,10.1159,10.116,10.1159,0.0002
2003-01-01,21554721.3,10.1161,10.1162,10.1161,0.0002
2003-01-02,23022156.93,10.0326,10.0327,10.0326,-0.0835
2003-01-03,23209144.84,10.114,10.1141,10.114,0.0814
2003-01-04,23209408.42,10.1142,10.1143,10.1142,0.0002
2003-01-05,23209672.06,10.1143,10.1144,10.1143,0.0001
2003-01-06,23442632.37,10.1807,10.1808,10.1807,0.0664
2003-01-07,23518030.72,10.2134,10.2135,10.2134,0.0327
2003-01-08,23423004.21,10.1722,10.1723,10.1722,-0.0412
2003-01-09,23255376.17,10.0994,10.0995,10.0994,-0.0728
2003-01-10,23287936.77,10.1048,10.1049,10.1048,0.0054
2003-01-11,23288154.16,10.1049,10.105,10.1049,0.0001
2003-01-12,23288371.53,10.105,10.1051,10.105,0.0001
2003-01-13,23488055.65,10.1481,10.1482,10.1481,0.0431
2003-01-14,23726011.57,10.2509,10.251,10.2509,0.1028
2003-01-15,23706764.72,10.2426,10.2427,10.2426,-0.0083
2003-01-16,23755418.19,10.2636,10.2637,10.2636,0.021
2003-01-17,23677969.99,10.2301,10.2302,10.2301,-0.0335
2003-01-18,23678124.52,10.2302,10.2303,10.2302,0.0001
2003-01-19,23678279.05,10.2303,10.2304,10.2303,0.0001
2003-01-20,23755909.98,10.2638,10.2639,10.2638,0.0335
2003-01-21,23870793.28,10.3134,10.3135,10.3134,0.0496
2003-01-22,23764945.0,10.2677,10.2678,10.2677,-0.0457
2003-01-23,23814200.63,10.289,10.2891,10.289,0.0213
2003-01-24,23771473.65,10.2705,10.2706,10.2705,-0.0185
2003-01-25,23771682.28,10.2706,10.2707,10.2706,0.0001
2003-01-26,23771890.96,10.2707,10.2708,10.2707,0.0001
