Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2002-11-27,54667754.33,10.0002,10.0003,10.0002,0.0002
2002-11-28,54601333.29,9.988,9.9881,9.988,-0.0122
2002-11-29,55918804.3,9.9947,9.9948,9.9947,0.0067
2002-11-30,55922528.82,9.9954,9.9955,9.9954,0.0007
2002-12-01,55926245.43,9.9961,9.9962,9.9961,0.0007
2002-12-02,56418384.01,9.9947,9.9948,9.9947,-0.0014
2002-12-03,56642411.08,9.9883,9.9884,9.9883,-0.0064
2002-12-04,57994995.76,9.9874,9.9875,9.9874,-0.0009
2002-12-05,57998581.3,9.9881,9.9882,9.9881,0.0007
2002-12-06,58834835.64,9.9916,9.9917,9.9916,0.0035
2002-12-07,58839294.87,9.9924,9.9925,9.9924,0.0008
2002-12-08,58843754.64,9.9931,9.9932,9.9931,0.0007
2002-12-09,59195441.08,9.9853,9.9854,9.9853,-0.0078
2002-12-10,59199491.2,9.986,9.9861,9.986,0.0007
2002-12-11,59800801.74,9.9887,9.9888,9.9887,0.0027
2002-12-12,60609586.52,9.9928,9.9929,9.9928,0.0041
2002-12-13,61404838.91,9.9984,9.9985,9.9984,0.0056
2002-12-14,61409747.0,9.9992,9.9993,9.9992,0.0008
2002-12-15,61414655.48,10.0,10.0001,10.0,0.0008
2002-12-16,62749980.91,9.9997,9.9998,9.9997,-0.0003
2002-12-17,64250688.73,9.9936,9.9937,9.9936,-0.0061
2002-12-18,65683284.72,10.0032,10.0033,10.0032,0.0096
2002-12-19,67574368.69,10.0172,10.0173,10.0172,0.014
2002-12-20,68581042.29,10.0179,10.018,10.0179,0.0007
2002-12-21,68586432.47,10.0187,10.0188,10.0187,0.0008
2002-12-22,68591823.41,10.0195,10.0196,10.0195,0.0008
2002-12-23,69445235.97,10.023,10.0231,10.023,0.0035
2002-12-24,70442460.01,10.0262,10.0263,10.0262,0.0032
2002-12-25,73244554.06,10.0231,10.0232,10.0231,-0.0031
2002-12-26,76223058.95,10.063,10.0631,10.063,0.0399
2002-12-27,83109676.76,10.0605,10.0606,10.0605,-0.0025
2002-12-28,83115711.46,10.0612,10.0613,10.0612,0.0007
2002-12-29,83121746.71,10.062,10.0621,10.062,0.0008
2002-12-30,83127782.69,10.0627,10.0628,10.0627,0.0007
2002-12-31,83133819.33,10.0634,10.0635,10.0634,0.0007
2003-01-01,83139849.13,10.0642,10.0643,10.0642,0.0008
2003-01-02,89303183.0,10.123,10.1231,10.123,0.0588
2003-01-03,89614014.7,10.1355,10.1356,10.1355,0.0125
2003-01-04,89619329.03,10.1361,10.1362,10.1361,0.0006
2003-01-05,89624644.17,10.1367,10.1368,10.1367,0.0006
2003-01-06,90074796.04,10.1812,10.1813,10.1812,0.0445
2003-01-07,90900363.03,10.1908,10.1909,10.1908,0.0096
2003-01-08,91156515.96,10.2083,10.2084,10.2083,0.0175
