Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2010-05-24,79524980.48,9.9461,9.9462,9.9461,-0.0545
2010-05-25,80587770.67,9.9743,9.9744,9.9743,0.0282
2010-05-26,82937826.81,10.1746,10.1747,10.1746,0.2003
2010-05-27,84128931.78,10.1715,10.1716,10.1715,-0.0031
2010-05-31,86257471.02,10.1761,10.1762,10.1761,0.0046
2010-06-01,86920732.24,10.2457,10.2458,10.2457,0.0696
2010-06-02,87288748.9,10.2214,10.2215,10.2214,-0.0243
2010-06-03,88424153.24,10.2302,10.2303,10.2302,0.0088
2010-06-04,88468654.57,10.1102,10.1103,10.1102,-0.12
2010-06-07,90242933.41,10.1769,10.177,10.1769,0.0667
2010-06-08,93092875.39,10.4204,10.4205,10.4204,0.2435
2010-06-09,93559007.71,10.3431,10.3432,10.3431,-0.0773
2010-06-10,93615997.62,10.2533,10.2534,10.2533,-0.0898
2010-06-11,94934825.62,10.2244,10.2245,10.2244,-0.0289
2010-06-14,96495011.63,10.2704,10.2705,10.2704,0.046
2010-06-15,96518684.37,10.2042,10.2043,10.2042,-0.0662
2010-06-16,98951689.24,10.2882,10.2883,10.2882,0.084
2010-06-17,100548354.34,10.2682,10.2683,10.2682,-0.02
2010-06-18,102344742.27,10.3662,10.3663,10.3662,0.098
2010-06-21,104723843.69,10.445,10.4451,10.445,0.0788
2010-06-22,103888456.2,10.2832,10.2833,10.2832,-0.1618
2010-06-23,105105272.01,10.3196,10.3197,10.3196,0.0364
2010-06-24,105490319.38,10.2621,10.2622,10.2621,-0.0575
2010-06-25,108229885.1,10.3439,10.344,10.3439,0.0818
2010-06-28,111272207.51,10.4335,10.4336,10.4335,0.0896
2010-06-29,111034367.75,10.2655,10.2656,10.2655,-0.168
2010-06-30,113273947.95,10.3355,10.3356,10.3355,0.07
2010-07-02,112590176.54,10.0985,10.0986,10.0985,-0.237
2010-07-05,113397085.98,10.1126,10.1127,10.1126,0.0141
2010-07-06,115159198.14,10.127,10.1271,10.127,0.0144
2010-07-07,116830392.29,9.9448,9.9449,9.9448,-0.1822
2010-07-08,119472488.82,10.0736,10.0737,10.0736,0.1288
2010-07-09,120422859.22,10.0096,10.0097,10.0096,-0.064
2010-07-12,123702565.61,10.0827,10.0828,10.0827,0.0731
2010-07-13,124865727.52,10.0489,10.049,10.0489,-0.0338
2010-07-14,126546841.0,10.1064,10.1065,10.1064,0.0575
2010-07-15,126914621.72,10.095,10.0951,10.095,-0.0114
2010-07-16,126269973.95,10.0251,10.0252,10.0251,-0.0699
2010-07-19,125283021.38,9.9226,9.9227,9.9226,-0.1025
2010-07-20,124619566.02,9.8526,9.8527,9.8526,-0.07
2010-07-21,126762259.93,9.8925,9.8926,9.8925,0.0399
2010-07-22,127542817.84,9.8948,9.8949,9.8948,0.0023
2010-07-23,129897108.96,9.9767,9.9768,9.9767,0.0819
2010-07-27,130217902.75,9.8496,9.8497,9.8496,-0.1271
2010-07-28,129324873.08,9.6809,9.681,9.6809,-0.1687
2010-07-29,131877343.4,9.7174,9.7175,9.7174,0.0365
2010-07-30,133874953.09,9.7316,9.7317,9.7316,0.0142
2010-08-02,138967936.94,9.8353,9.8354,9.8353,0.1037
2010-08-03,139646952.23,9.8257,9.8258,9.8257,-0.0096
2010-08-04,141494449.88,9.9003,9.9004,9.9003,0.0746
2010-08-05,142276269.81,9.9145,9.9146,9.9145,0.0142
2010-08-06,142459266.46,9.8841,9.8842,9.8841,-0.0304
2010-08-10,142866776.67,9.8497,9.8498,9.8497,-0.0164
2010-08-11,144503211.3,9.856,9.8561,9.856,0.0063
2010-08-16,147498075.24,10.0301,10.0302,10.0301,0.1741
2010-08-17,147422102.18,10.0449,10.045,10.0449,0.0148
2010-08-18,147185450.65,9.9731,9.9732,9.9731,-0.0718
2010-08-19,147945095.2,10.0106,10.0107,10.0106,0.0375
2010-08-20,150755522.8,9.9861,9.9862,9.9861,-0.0245
2010-08-23,150868729.52,9.9595,9.9596,9.9595,-0.0266
2010-08-24,150604277.2,9.8825,9.8826,9.8825,-0.077
