Date,Total NAV,NAV,Sell NAV,Buy NAV,Change
2008-11-13,35873411.23,10.0029,10.003,10.0029,0.0004
2008-11-14,37034859.0,10.0033,10.0034,10.0033,0.0004
2008-11-17,38544940.19,10.0045,10.0046,10.0045,0.0012
2008-11-18,40557702.44,10.0048,10.0049,10.0048,0.0003
2008-11-19,42300986.83,10.0045,10.0046,10.0045,-0.0003
2008-11-20,43339972.26,10.0054,10.0055,10.0054,0.0009
2008-11-21,43389441.93,10.0053,10.0054,10.0053,-0.0001
2008-11-24,44524181.38,10.0064,10.0065,10.0064,0.0011
2008-11-25,48123199.5,10.0067,10.0068,10.0067,0.0003
2008-11-26,48369128.88,10.0074,10.0075,10.0074,0.0007
2008-11-27,49736714.38,10.008,10.0081,10.008,0.0006
2008-11-28,50570005.23,10.0087,10.0088,10.0087,0.0007
2008-12-01,51527136.76,10.0105,10.0106,10.0105,0.0018
2008-12-02,52554927.85,10.011,10.0111,10.011,0.0005
2008-12-03,54058936.17,10.0116,10.0117,10.0116,0.0006
2008-12-04,55363618.35,10.0121,10.0122,10.0121,0.0005
2008-12-08,57322220.22,10.0141,10.0142,10.0141,0.002
2008-12-09,58726724.33,10.0145,10.0146,10.0145,0.0004
2008-12-11,60251844.24,10.0154,10.0155,10.0154,0.0009
2008-12-12,62483400.44,10.0158,10.0159,10.0158,0.0004
2008-12-15,64850001.89,10.017,10.0171,10.017,0.0012
2008-12-16,66563935.13,10.0174,10.0175,10.0174,0.0004
2008-12-17,68233383.32,10.0179,10.018,10.0179,0.0005
2008-12-18,71611054.99,10.0183,10.0184,10.0183,0.0004
2008-12-19,76151737.43,10.0185,10.0186,10.0185,0.0002
2008-12-22,79432104.43,10.0198,10.0199,10.0198,0.0013
2008-12-23,89135081.05,10.0203,10.0204,10.0203,0.0005
2008-12-24,96266245.51,10.0208,10.0209,10.0208,0.0005
2008-12-25,105398346.04,10.0211,10.0212,10.0211,0.0003
2008-12-26,116972161.43,10.0215,10.0216,10.0215,0.0004
2008-12-29,133035668.29,10.0224,10.0225,10.0224,0.0009
2008-12-30,160560344.8,10.0228,10.0229,10.0228,0.0004
2009-01-05,189607884.83,10.0248,10.0249,10.0248,0.002
2009-01-06,189865368.74,10.0252,10.0253,10.0252,0.0004
2009-01-07,190896160.26,10.0265,10.0266,10.0265,0.0013
2009-01-08,190955399.38,10.0267,10.0268,10.0267,0.0002
2009-01-09,191664074.88,10.0263,10.0264,10.0263,-0.0004
2009-01-12,191696201.29,10.028,10.0281,10.028,0.0017
2009-01-13,191919869.79,10.0284,10.0285,10.0284,0.0004
2009-01-14,192548712.76,10.0287,10.0288,10.0287,0.0003
2009-01-15,193260297.67,10.0293,10.0294,10.0293,0.0006
2009-01-16,193352051.26,10.0297,10.0298,10.0297,0.0004
2009-01-19,193412871.77,10.0312,10.0313,10.0312,0.0015
2009-01-20,193447031.42,10.0322,10.0323,10.0322,0.001
2009-01-21,193447521.19,10.0322,10.0323,10.0322,0.0
2009-01-22,193552844.09,10.0327,10.0328,10.0327,0.0005
2009-01-23,193459759.48,10.033,10.0331,10.033,0.0003
2009-01-26,193481359.23,10.0341,10.0342,10.0341,0.0011
2009-01-27,193553114.85,10.0346,10.0347,10.0346,0.0005
2009-01-28,193668785.03,10.0349,10.035,10.0349,0.0003
2009-01-29,193730939.25,10.0361,10.0362,10.0361,0.0012
2009-01-30,193731411.19,10.0358,10.0359,10.0358,-0.0003
2009-02-02,196394937.51,10.0377,10.0378,10.0377,0.0019
2009-02-03,196452469.24,10.0381,10.0382,10.0381,0.0004
2009-02-04,196750760.63,10.0384,10.0385,10.0384,0.0003
2009-02-05,196709682.02,10.0389,10.039,10.0389,0.0005
2009-02-06,196842391.36,10.0396,10.0397,10.0396,0.0007
2009-02-10,196603561.33,10.0412,10.0413,10.0412,0.0016
2009-02-11,196903921.46,10.0416,10.0417,10.0416,0.0004
2009-02-12,195909127.99,10.0421,10.0422,10.0421,0.0005
2009-02-13,196417089.68,10.0424,10.0425,10.0424,0.0003
